step 00026 (3.62%) | loss: 4.687718 | lrm: 1.00 | dt: 879.58ms | tok/sec: 596,068 | mfu: 26.41 | epoch: 1 | total time: 0.25m
step 00027 (3.76%) | loss: 4.611823 | lrm: 1.00 | dt: 857.52ms | tok/sec: 611,399 | mfu: 27.09 | epoch: 1 | total time: 0.26m
step 00028 (3.91%) | loss: 4.604164 | lrm: 1.00 | dt: 997.43ms | tok/sec: 525,636 | mfu: 23.29 | epoch: 1 | total time: 0.28m
step 00029 (4.05%) | loss: 4.594189 | lrm: 1.00 | dt: 908.56ms | tok/sec: 577,055 | mfu: 25.57 | epoch: 1 | total time: 0.30m
step 00030 (4.19%) | loss: 4.587664 | lrm: 1.00 | dt: 887.75ms | tok/sec: 590,579 | mfu: 26.17 | epoch: 1 | total time: 0.31m
step 00031 (4.32%) | loss: 4.546402 | lrm: 1.00 | dt: 901.48ms | tok/sec: 581,588 | mfu: 25.77 | epoch: 1 | total time: 0.33m
step 00032 (4.47%) | loss: 4.461310 | lrm: 1.00 | dt: 925.16ms | tok/sec: 566,701 | mfu: 25.11 | epoch: 1 | total time: 0.34m
step 00033 (4.59%) | loss: 4.439229 | lrm: 1.00 | dt: 916.95ms | tok/sec: 571,775 | mfu: 25.33 | epoch: 1 | total time: 0.36m
step 00034 (4.73%) | loss: 4.382208 | lrm: 1.00 | dt: 925.16ms | tok/sec: 566,701 | mfu: 25.11 | epoch: 1 | total time: 0.37m
step 00035 (4.86%) | loss: 4.346123 | lrm: 1.00 | dt: 872.23ms | tok/sec: 601,092 | mfu: 26.63 | epoch: 1 | total time: 0.39m
step 00036 (5.02%) | loss: 4.275294 | lrm: 1.00 | dt: 946.36ms | tok/sec: 554,005 | mfu: 24.55 | epoch: 1 | total time: 0.40m
step 00037 (5.15%) | loss: 4.278106 | lrm: 1.00 | dt: 904.37ms | tok/sec: 579,729 | mfu: 25.69 | epoch: 1 | total time: 0.42m
step 00038 (5.29%) | loss: 4.236120 | lrm: 1.00 | dt: 908.73ms | tok/sec: 576,948 | mfu: 25.56 | epoch: 1 | total time: 0.43m
step 00039 (5.43%) | loss: 4.213414 | lrm: 1.00 | dt: 922.54ms | tok/sec: 568,306 | mfu: 25.18 | epoch: 1 | total time: 0.45m
step 00040 (5.57%) | loss: 4.196367 | lrm: 1.00 | dt: 908.09ms | tok/sec: 577,354 | mfu: 25.58 | epoch: 1 | total time: 0.46m
step 00041 (5.70%) | loss: 4.160267 | lrm: 1.00 | dt: 911.38ms | tok/sec: 575,270 | mfu: 25.49 | epoch: 1 | total time: 0.48m
step 00042 (5.84%) | loss: 4.130764 | lrm: 1.00 | dt: 919.05ms | tok/sec: 570,465 | mfu: 25.28 | epoch: 1 | total time: 0.49m
step 00043 (5.98%) | loss: 4.078260 | lrm: 1.00 | dt: 991.07ms | tok/sec: 529,010 | mfu: 23.44 | epoch: 1 | total time: 0.51m
step 00044 (6.13%) | loss: 4.030928 | lrm: 1.00 | dt: 923.35ms | tok/sec: 567,812 | mfu: 25.16 | epoch: 1 | total time: 0.53m
step 00045 (6.26%) | loss: 4.006722 | lrm: 1.00 | dt: 863.93ms | tok/sec: 606,867 | mfu: 26.89 | epoch: 1 | total time: 0.54m
step 00046 (6.41%) | loss: 3.986843 | lrm: 1.00 | dt: 951.26ms | tok/sec: 551,152 | mfu: 24.42 | epoch: 1 | total time: 0.56m
step 00047 (6.55%) | loss: 3.959517 | lrm: 1.00 | dt: 911.25ms | tok/sec: 575,352 | mfu: 25.49 | epoch: 1 | total time: 0.57m
step 00048 (6.70%) | loss: 3.925456 | lrm: 1.00 | dt: 972.15ms | tok/sec: 539,309 | mfu: 23.89 | epoch: 1 | total time: 0.59m
step 00049 (6.86%) | loss: 3.935281 | lrm: 1.00 | dt: 963.49ms | tok/sec: 544,153 | mfu: 24.11 | epoch: 1 | total time: 0.60m
